item_id,current_label,risk_level,evidence_sufficiency,annotation_confidence,priority_reason,signal_tags,review_question,next_action
threads_pilot_v1_0012,uncertain,low,partial,low,uncertain_label,private_channel_redirect,"Can existing redacted signals resolve uncertainty, or is more controlled context required?",second_review_existing_redacted_record_only
threads_pilot_v1_0017,insufficient_evidence,low,not_reviewable,high,insufficient_evidence_label,none,"Can controlled existing evidence support scam/non_scam/uncertain, or must this remain insufficient_evidence?",second_review_existing_redacted_record_only
threads_pilot_v1_0020,uncertain,medium,partial,medium,uncertain_label|medium_risk,guaranteed_or_risk_free_claim|unrealistic_profit_or_benefit|visible_external_link,"Do existing redacted signals justify promotion to scam/high-risk, downgrade to non_scam/low, or keep uncertain?",second_review_existing_redacted_record_only
threads_pilot_v1_0021,uncertain,medium,partial,medium,uncertain_label|medium_risk,guaranteed_or_risk_free_claim|unrealistic_profit_or_benefit|visible_external_link,"Do existing redacted signals justify promotion to scam/high-risk, downgrade to non_scam/low, or keep uncertain?",second_review_existing_redacted_record_only
threads_pilot_v1_0025,uncertain,medium,partial,medium,uncertain_label|medium_risk,contact_handle_visible|payment_deposit_or_fee_request|private_channel_redirect|visible_external_link,"Do existing redacted signals justify promotion to scam/high-risk, downgrade to non_scam/low, or keep uncertain?",second_review_existing_redacted_record_only
threads_pilot_v1_0027,uncertain,medium,partial,medium,uncertain_label|medium_risk,contact_handle_visible|private_channel_redirect|visible_external_link,"Do existing redacted signals justify promotion to scam/high-risk, downgrade to non_scam/low, or keep uncertain?",second_review_existing_redacted_record_only
threads_pilot_v1_0047,uncertain,medium,partial,low,uncertain_label|medium_risk,private_channel_redirect|contact_handle_visible,"Do existing redacted signals justify promotion to scam/high-risk, downgrade to non_scam/low, or keep uncertain?",second_review_existing_redacted_record_only
threads_pilot_v1_0048,insufficient_evidence,low,insufficient,low,insufficient_evidence_label,none,"Can controlled existing evidence support scam/non_scam/uncertain, or must this remain insufficient_evidence?",second_review_existing_redacted_record_only
threads_pilot_v1_0049,insufficient_evidence,low,insufficient,low,insufficient_evidence_label,none,"Can controlled existing evidence support scam/non_scam/uncertain, or must this remain insufficient_evidence?",second_review_existing_redacted_record_only
threads_pilot_v1_0050,uncertain,low,partial,low,uncertain_label,vague_offer_strong_benefit,"Can existing redacted signals resolve uncertainty, or is more controlled context required?",second_review_existing_redacted_record_only
threads_pilot_v1_0051,insufficient_evidence,low,insufficient,low,insufficient_evidence_label,none,"Can controlled existing evidence support scam/non_scam/uncertain, or must this remain insufficient_evidence?",second_review_existing_redacted_record_only
threads_pilot_v1_0052,uncertain,medium,partial,low,uncertain_label|medium_risk,private_channel_redirect|contact_handle_visible,"Do existing redacted signals justify promotion to scam/high-risk, downgrade to non_scam/low, or keep uncertain?",second_review_existing_redacted_record_only
threads_pilot_v1_0053,insufficient_evidence,low,insufficient,low,insufficient_evidence_label,none,"Can controlled existing evidence support scam/non_scam/uncertain, or must this remain insufficient_evidence?",second_review_existing_redacted_record_only
threads_pilot_v1_0054,insufficient_evidence,low,insufficient,low,insufficient_evidence_label,none,"Can controlled existing evidence support scam/non_scam/uncertain, or must this remain insufficient_evidence?",second_review_existing_redacted_record_only
threads_pilot_v1_0055,uncertain,medium,partial,low,uncertain_label|medium_risk,private_channel_redirect|implicit_dm_contact_request|contact_handle_visible,"Do existing redacted signals justify promotion to scam/high-risk, downgrade to non_scam/low, or keep uncertain?",second_review_existing_redacted_record_only
threads_pilot_v1_0056,uncertain,medium,partial,low,uncertain_label|medium_risk,contact_handle_visible|visible_external_link|private_channel_redirect,"Do existing redacted signals justify promotion to scam/high-risk, downgrade to non_scam/low, or keep uncertain?",second_review_existing_redacted_record_only
threads_pilot_v1_0057,uncertain,medium,insufficient,low,uncertain_label|medium_risk,contact_handle_visible|visible_external_link|private_channel_redirect,"Can controlled existing evidence support scam/non_scam/uncertain, or must this remain insufficient_evidence?",second_review_existing_redacted_record_only
threads_pilot_v1_0058,uncertain,medium,partial,low,uncertain_label|medium_risk,visible_external_link|guaranteed_or_risk_free_claim|unrealistic_profit_or_benefit,"Do existing redacted signals justify promotion to scam/high-risk, downgrade to non_scam/low, or keep uncertain?",second_review_existing_redacted_record_only
threads_pilot_v1_0059,uncertain,low,insufficient,low,uncertain_label,visible_external_link,"Can controlled existing evidence support scam/non_scam/uncertain, or must this remain insufficient_evidence?",second_review_existing_redacted_record_only
threads_pilot_v1_0060,uncertain,low,insufficient,low,uncertain_label,visible_external_link,"Can controlled existing evidence support scam/non_scam/uncertain, or must this remain insufficient_evidence?",second_review_existing_redacted_record_only
threads_pilot_v1_0061,uncertain,low,insufficient,low,uncertain_label,visible_external_link,"Can controlled existing evidence support scam/non_scam/uncertain, or must this remain insufficient_evidence?",second_review_existing_redacted_record_only
threads_pilot_v1_0062,uncertain,low,partial,low,uncertain_label,visible_external_link,"Can existing redacted signals resolve uncertainty, or is more controlled context required?",second_review_existing_redacted_record_only
threads_pilot_v1_0063,uncertain,low,partial,low,uncertain_label,visible_external_link,"Can existing redacted signals resolve uncertainty, or is more controlled context required?",second_review_existing_redacted_record_only
threads_pilot_v1_0064,uncertain,low,partial,low,uncertain_label,visible_external_link,"Can existing redacted signals resolve uncertainty, or is more controlled context required?",second_review_existing_redacted_record_only
threads_pilot_v1_0065,uncertain,low,partial,low,uncertain_label,visible_external_link,"Can existing redacted signals resolve uncertainty, or is more controlled context required?",second_review_existing_redacted_record_only
threads_pilot_v1_0066,uncertain,low,partial,low,uncertain_label,visible_external_link,"Can existing redacted signals resolve uncertainty, or is more controlled context required?",second_review_existing_redacted_record_only
threads_pilot_v1_0067,uncertain,low,insufficient,low,uncertain_label,visible_external_link,"Can controlled existing evidence support scam/non_scam/uncertain, or must this remain insufficient_evidence?",second_review_existing_redacted_record_only
threads_pilot_v1_0068,uncertain,medium,insufficient,low,uncertain_label|medium_risk,contact_handle_visible|visible_external_link|private_channel_redirect,"Can controlled existing evidence support scam/non_scam/uncertain, or must this remain insufficient_evidence?",second_review_existing_redacted_record_only
threads_pilot_v1_0069,uncertain,low,insufficient,low,uncertain_label,visible_external_link,"Can controlled existing evidence support scam/non_scam/uncertain, or must this remain insufficient_evidence?",second_review_existing_redacted_record_only
threads_pilot_v1_0070,uncertain,low,insufficient,low,uncertain_label,visible_external_link,"Can controlled existing evidence support scam/non_scam/uncertain, or must this remain insufficient_evidence?",second_review_existing_redacted_record_only
threads_pilot_v1_0071,uncertain,medium,insufficient,low,uncertain_label|medium_risk,contact_handle_visible|visible_external_link|private_channel_redirect,"Can controlled existing evidence support scam/non_scam/uncertain, or must this remain insufficient_evidence?",second_review_existing_redacted_record_only
threads_pilot_v1_0072,uncertain,low,partial,low,uncertain_label,visible_external_link,"Can existing redacted signals resolve uncertainty, or is more controlled context required?",second_review_existing_redacted_record_only
threads_pilot_v1_0073,uncertain,low,partial,low,uncertain_label,visible_external_link,"Can existing redacted signals resolve uncertainty, or is more controlled context required?",second_review_existing_redacted_record_only
threads_pilot_v1_0074,uncertain,low,partial,low,uncertain_label,visible_external_link,"Can existing redacted signals resolve uncertainty, or is more controlled context required?",second_review_existing_redacted_record_only
threads_pilot_v1_0075,uncertain,medium,partial,low,uncertain_label|medium_risk,visible_external_link|guaranteed_or_risk_free_claim|unrealistic_profit_or_benefit,"Do existing redacted signals justify promotion to scam/high-risk, downgrade to non_scam/low, or keep uncertain?",second_review_existing_redacted_record_only
